scenario,stratum,model,comparison,estimate,lower,upper,n_resamples,level,metric
exclude_prostatectomy_nos,unknown,logistic,social position (step 1 to 2),0.005179367157240544,0.0015369387711914818,0.009287516452836271,500,0.95,log-loss skill
exclude_prostatectomy_nos,unknown,lightgbm,clinical need (step 0 to 1),0.004064823184483424,0.0009744115772533509,0.007116791008811537,500,0.95,log-loss skill
exclude_prostatectomy_nos,unknown,lightgbm,social position (step 1 to 2),0.01371021674919315,0.007403863195145355,0.021259279455762867,500,0.95,log-loss skill
logistic_wide_c_grid,all,logistic,clinical need (step 0 to 1),0.030144787765437497,0.026899379977267466,0.03375232523139575,500,0.95,log-loss skill
logistic_wide_c_grid,all,logistic,social position (step 1 to 2),0.0061666843568282115,0.003919481779430837,0.008674070158965102,500,0.95,log-loss skill
logistic_wide_c_grid,low,logistic,clinical need (step 0 to 1),0.0013832749719396853,0.0007985515110470382,0.0019908223119603297,500,0.95,log-loss skill
logistic_wide_c_grid,low,logistic,social position (step 1 to 2),0.006197041908582945,0.0031849629049031467,0.009446809905421492,500,0.95,log-loss skill
logistic_wide_c_grid,intermediate,logistic,clinical need (step 0 to 1),0.004911384742225855,0.0041089272005754435,0.005625584467722843,500,0.95,log-loss skill
logistic_wide_c_grid,intermediate,logistic,social position (step 1 to 2),0.005638678369827788,0.0034573693620179166,0.008345487742039729,500,0.95,log-loss skill
logistic_wide_c_grid,high,logistic,clinical need (step 0 to 1),0.035294253259220976,0.03163881461580135,0.03861850619209797,500,0.95,log-loss skill
logistic_wide_c_grid,high,logistic,social position (step 1 to 2),0.008592608275613034,0.0059949751604018164,0.011454376593027088,500,0.95,log-loss skill
logistic_wide_c_grid,unknown,logistic,clinical need (step 0 to 1),0.006502111507137753,0.004084015832008636,0.00887439694358556,500,0.95,log-loss skill
logistic_wide_c_grid,unknown,logistic,social position (step 1 to 2),0.0041541987736112285,0.0007663558120881579,0.008008927455390669,500,0.95,log-loss skill
