scenario,stratum,model,comparison,estimate,lower,upper,n_resamples,level,metric
threshold_180,all,logistic,social position (step 1 to 2),0.006569475920752743,0.004060620274808202,0.009157646227110577,500,0.95,log-loss skill
threshold_180,all,lightgbm,clinical need (step 0 to 1),0.03711249173464326,0.03394120067470294,0.040426218744456524,500,0.95,log-loss skill
threshold_180,all,lightgbm,social position (step 1 to 2),0.010014595097207368,0.006861236678601323,0.013482229443431843,500,0.95,log-loss skill
threshold_180,low,logistic,clinical need (step 0 to 1),0.0006536413124439422,0.0001594981093374364,0.001143368100589434,500,0.95,log-loss skill
threshold_180,low,logistic,social position (step 1 to 2),0.00564059217598234,0.003246839480509376,0.008180719985059554,500,0.95,log-loss skill
threshold_180,low,lightgbm,clinical need (step 0 to 1),-0.0022610690510194154,-0.00351199151125694,-0.0011019736533988194,500,0.95,log-loss skill
threshold_180,low,lightgbm,social position (step 1 to 2),0.008364467434625267,0.005635642908753916,0.011026882199358504,500,0.95,log-loss skill
threshold_180,intermediate,logistic,clinical need (step 0 to 1),0.007186427505476156,0.005980494633610123,0.008571811613839549,500,0.95,log-loss skill
threshold_180,intermediate,logistic,social position (step 1 to 2),0.005805343974857102,0.0033382923925938395,0.008331310021013923,500,0.95,log-loss skill
threshold_180,intermediate,lightgbm,clinical need (step 0 to 1),0.006020311606577455,0.0048632633045297665,0.007342752332036048,500,0.95,log-loss skill
threshold_180,intermediate,lightgbm,social position (step 1 to 2),0.009341225198636227,0.005969197646541899,0.013292133678763458,500,0.95,log-loss skill
threshold_180,high,logistic,clinical need (step 0 to 1),0.03792902347274907,0.03381387484655795,0.0418665522817634,500,0.95,log-loss skill
threshold_180,high,logistic,social position (step 1 to 2),0.009558954230977412,0.006427390336875883,0.013067814670544964,500,0.95,log-loss skill
threshold_180,high,lightgbm,clinical need (step 0 to 1),0.036899668988503276,0.03279496262457617,0.041153798684639455,500,0.95,log-loss skill
threshold_180,high,lightgbm,social position (step 1 to 2),0.013950650105929219,0.010490532351727509,0.018107107503374992,500,0.95,log-loss skill
threshold_180,unknown,logistic,clinical need (step 0 to 1),0.013337193952645321,0.009091475234439272,0.01789204554258747,500,0.95,log-loss skill
threshold_180,unknown,logistic,social position (step 1 to 2),0.005839462804040685,4.260489254677756e-05,0.011895352940525331,500,0.95,log-loss skill
threshold_180,unknown,lightgbm,clinical need (step 0 to 1),0.012660064533675741,0.005297784896100108,0.021291918989197925,500,0.95,log-loss skill
threshold_180,unknown,lightgbm,social position (step 1 to 2),0.013277735889522968,0.001392802371897043,0.028457640733200503,500,0.95,log-loss skill
risk_grade_psa_only,all,logistic,clinical need (step 0 to 1),0.030144787765437497,0.026899379977267466,0.03375232523139575,500,0.95,log-loss skill
risk_grade_psa_only,all,logistic,social position (step 1 to 2),0.0061666843568282115,0.003919481779430837,0.008674070158965102,500,0.95,log-loss skill
risk_grade_psa_only,all,lightgbm,clinical need (step 0 to 1),0.03179046835072241,0.02849865960453649,0.035386295026645115,500,0.95,log-loss skill
risk_grade_psa_only,all,lightgbm,social position (step 1 to 2),0.009920618052020047,0.007292159536478174,0.013002235826174362,500,0.95,log-loss skill
risk_grade_psa_only,low,logistic,clinical need (step 0 to 1),0.001170005904413185,0.0005009636365307851,0.0019567563747024813,500,0.95,log-loss skill
risk_grade_psa_only,low,logistic,social position (step 1 to 2),0.006663532387473525,0.0034471053632746775,0.010087977748360498,500,0.95,log-loss skill
risk_grade_psa_only,low,lightgbm,clinical need (step 0 to 1),0.0008624057097311733,-0.00011078714291549714,0.0018138719019381382,500,0.95,log-loss skill
risk_grade_psa_only,low,lightgbm,social position (step 1 to 2),0.010192170495236574,0.0071398354519600585,0.013196565710465135,500,0.95,log-loss skill
risk_grade_psa_only,intermediate,logistic,clinical need (step 0 to 1),0.004356362184982032,0.0036828849080644183,0.005003776896017148,500,0.95,log-loss skill
risk_grade_psa_only,intermediate,logistic,social position (step 1 to 2),0.005831911566108294,0.0037661585623048033,0.00815544772869687,500,0.95,log-loss skill
risk_grade_psa_only,intermediate,lightgbm,clinical need (step 0 to 1),0.005026482734235227,0.004008586035757336,0.0059753817722600095,500,0.95,log-loss skill
risk_grade_psa_only,intermediate,lightgbm,social position (step 1 to 2),0.009191170178358243,0.006685417932604612,0.012276226136103166,500,0.95,log-loss skill
risk_grade_psa_only,high,logistic,clinical need (step 0 to 1),0.023589342637489907,0.021515046928186902,0.02525586886347822,500,0.95,log-loss skill
risk_grade_psa_only,high,logistic,social position (step 1 to 2),0.009409072470191071,0.0065357351911746854,0.012788974025786787,500,0.95,log-loss skill
risk_grade_psa_only,high,lightgbm,clinical need (step 0 to 1),0.024908572699839038,0.022378827862935928,0.026818920222403834,500,0.95,log-loss skill
risk_grade_psa_only,high,lightgbm,social position (step 1 to 2),0.013434136089221171,0.010047843216187883,0.01776037882474188,500,0.95,log-loss skill
