scenario,stratum,model,step,log_loss,brier,auc,calibration_intercept,calibration_slope,log_loss_skill,brier_skill
threshold_60,all,logistic,0,0.6336338215178713,0.22100408731600574,0.5496516707257594,-6.1821290162492656e-06,1.0001683095837768,0.0,0.0
threshold_60,all,logistic,1,0.6057414966261715,0.20838788658037122,0.6450936633890693,1.634669216627187e-05,1.0013064234421052,0.0440196276532141,0.057085825374781685
threshold_60,all,logistic,2,0.6023182384005362,0.20689187074079857,0.6530845615651024,5.107102290921584e-05,1.0003067210478644,0.049422208938150636,0.06385500262277333
threshold_60,all,lightgbm,0,0.632812022084882,0.2206537500343987,0.551124148484579,1.0502869443123686e-05,0.993535582186851,0.0,0.0
threshold_60,all,lightgbm,1,0.6033282130957143,0.20738978068398206,0.6504507384014002,8.949692621517129e-05,1.0019386319020824,0.04659173334291189,0.060112141073282666
threshold_60,all,lightgbm,2,0.5973607749527033,0.2047768081731699,0.6643046523349596,0.00014803796761067654,1.028900740932429,0.05602176617217203,0.0719540993921638
threshold_60,low,logistic,0,0.5571941053241102,0.18571571188980043,0.5606708437907877,-2.8410597913558922e-05,1.0097573712798542,0.0,0.0
threshold_60,low,logistic,1,0.5556217957072155,0.185096247129255,0.5748707538942222,-0.00011540050859152489,1.0012383518317973,0.0028218346207739,0.0033355538647856786
threshold_60,low,logistic,2,0.5510309142834651,0.18322572857373023,0.5987029540413074,-0.00014507637614832522,0.9896734306917192,0.011061120320108309,0.013407499509506815
threshold_60,low,lightgbm,0,0.5564575997371585,0.18543670281173807,0.5646386938605739,6.0561726074959696e-05,0.9798039207812235,0.0,0.0
threshold_60,low,lightgbm,1,0.5552927140779176,0.18494279502582334,0.5770377057097773,0.0001565528802933197,0.8666571920467222,0.002093395183732083,0.002663484512104186
threshold_60,low,lightgbm,2,0.5484919800957005,0.18227594418377202,0.6099810056684912,0.0008206494898064386,0.9355929223842852,0.014314872589071381,0.017044946227149915
threshold_60,intermediate,logistic,0,0.6039371794645604,0.20714170497215537,0.5727254596815807,-0.00011227274280304006,1.003286827988105,0.0,0.0
threshold_60,intermediate,logistic,1,0.5984679015009324,0.20483718564869863,0.5971888601067422,-0.0001708043604597676,1.0034760336289985,0.009056037862210986,0.011125327580781108
threshold_60,intermediate,logistic,2,0.5952698076692955,0.20343590083582716,0.6073719431431305,-4.983855011723298e-05,0.9986145521444262,0.014351445961563791,0.01789018844286505
threshold_60,intermediate,lightgbm,0,0.6034362689658377,0.2069511618225751,0.5717908531421898,2.6607484609977253e-05,0.9918399395024731,0.0,0.0
threshold_60,intermediate,lightgbm,1,0.5974172381482068,0.20444280069606974,0.6000887586278962,0.00015043049566968282,0.9576498155544695,0.009974592392244186,0.012120546241029873
threshold_60,intermediate,lightgbm,2,0.5921034640274228,0.20210178987731167,0.6180034627879898,8.554090409368127e-05,0.9988666797074363,0.018780450432382856,0.023432446102529925
threshold_60,high,logistic,0,0.6699850079992035,0.2386014153570936,0.5574631902973182,8.94912487707537e-05,1.0014158181228399,0.0,0.0
threshold_60,high,logistic,1,0.6321654794130102,0.22088050811899482,0.6681969941947137,-4.887905451225576e-05,1.0017200977788898,0.05644832068576422,0.07426991667915073
threshold_60,high,logistic,2,0.6280565345145983,0.21900922425301733,0.6753158292109976,-0.0001934414283873329,0.9997345972078596,0.06258121149578766,0.08211263573082483
threshold_60,high,lightgbm,0,0.6692941563425998,0.23828779666797806,0.5565312039814942,4.8625438328747054e-05,0.984867810510089,0.0,0.0
threshold_60,high,lightgbm,1,0.6297627679092229,0.2198548671944171,0.6721183512590603,-1.781533141347741e-05,0.9902371000121492,0.05906429640652877,0.0773557426410919
threshold_60,high,lightgbm,2,0.6233148406567989,0.21691555583763855,0.6834027189068833,0.0001827090731158906,1.0173243745091838,0.06869821774189366,0.08969087435106404
threshold_60,unknown,logistic,0,0.6270442106451455,0.21813865939459096,0.5793134659164781,0.00017908670877820145,1.0323803296642506,0.0,0.0
threshold_60,unknown,logistic,1,0.6186169402447578,0.2144823573261075,0.6131912442396313,8.553039824392471e-05,1.0229001740399064,0.01343967499790355,0.016761366731742777
threshold_60,unknown,logistic,2,0.6160427879539455,0.21320483337111676,0.6208618075409775,0.00038154437453186444,0.9938417600107226,0.017544891579305055,0.022617843334910237
threshold_60,unknown,lightgbm,0,0.6258981244069971,0.21764466428458304,0.5813860659325001,-0.0004252166962161433,0.9536447498202989,0.0,0.0
threshold_60,unknown,lightgbm,1,0.6166192817592752,0.21364027300086247,0.6177481981816344,0.00026069511404079593,0.8864675497681487,0.014824844948230331,0.018398756968765362
threshold_60,unknown,lightgbm,2,0.6068410893919098,0.20905822651909653,0.6452358599283212,-0.0005653753928974085,0.9244797066093837,0.030447502991230002,0.03945163458847423
threshold_120,all,logistic,0,0.5350658794345666,0.17552314463151433,0.5602238589547476,0.00012133294932544858,1.0006179343535808,0.0,0.0
threshold_120,all,logistic,1,0.5187615025199548,0.16998164960013734,0.6334689037030133,0.00018044449830198006,1.0021866176021823,0.03047171860751341,0.031571306695823864
threshold_120,all,logistic,2,0.5151306691238065,0.16880654719238258,0.6451660110852206,5.968738048287275e-06,1.0003950450580132,0.03725748749261826,0.038266164004936654
threshold_120,all,lightgbm,0,0.5342755677619366,0.17525193001313777,0.5627634249280232,5.124585969485784e-06,0.9955908590662377,0.0,0.0
threshold_120,all,lightgbm,1,0.5172998609268203,0.16947101613551116,0.6378864727641765,-0.00014715511690362388,1.0012817041849376,0.03177331672909356,0.03298630649712808
threshold_120,all,lightgbm,2,0.5116624410130557,0.16757882857116443,0.6550975021016526,1.1975194489505453e-05,1.0266059005346402,0.04232483780534191,0.04378326356461881
threshold_120,low,logistic,0,0.6052804461120792,0.2076234738725383,0.5693040876088211,6.321744032899046e-05,1.0063331858432985,0.0,0.0
threshold_120,low,logistic,1,0.6048050978840264,0.20741999745277165,0.5741568309823376,-2.6136040105868234e-05,1.0014410998283814,0.0007853355103508708,0.0009800260826555718
threshold_120,low,logistic,2,0.6012027461847461,0.2059985474549193,0.5950975389705097,-5.550071435030395e-05,0.9840118437240031,0.006736877018786114,0.007826313601787427
threshold_120,low,lightgbm,0,0.6043708888788752,0.20725688021609148,0.5733622881057112,0.00013689164428188575,0.9853732319646309,0.0,0.0
threshold_120,low,lightgbm,1,0.6048807103107078,0.2074716348790039,0.576704134524394,-5.145802976130442e-05,0.8671736450438847,-0.0008435572282083914,-0.0010361762788695383
threshold_120,low,lightgbm,2,0.5990351387223861,0.20508133378766577,0.6045074457375718,0.0004094673171500941,0.9243587783242364,0.00882860219556092,0.010496859868571962
threshold_120,intermediate,logistic,0,0.5524762890382049,0.18359335011429181,0.583977634107507,0.00010472984002583851,1.0042836604135712,0.0,0.0
threshold_120,intermediate,logistic,1,0.5496198596263048,0.18249980950216382,0.5979105018988403,-0.00011455849196882772,1.0029589165337078,0.005170229869724929,0.005956319286331668
threshold_120,intermediate,logistic,2,0.5463895022554015,0.1813707654958634,0.60970220837869,1.7160533765726176e-05,0.9969074757129318,0.011017281471752849,0.012106019183400707
threshold_120,intermediate,lightgbm,0,0.551885437741242,0.18339212586614986,0.5844341037749312,2.252723411498179e-05,0.9936877823470365,0.0,0.0
threshold_120,intermediate,lightgbm,1,0.5488095272844566,0.18221197012836088,0.6000889039910197,-6.235689255453523e-05,0.9616056701624813,0.005573458269481524,0.006435149449384392
threshold_120,intermediate,lightgbm,2,0.5438533575413447,0.18046577227826124,0.6187986589213107,3.7429083639753716e-05,0.9990561922216161,0.014553890446486584,0.015956811526490755
threshold_120,high,logistic,0,0.4603206701549927,0.14340805327502315,0.5675519066555292,4.1174337085381034e-05,1.0044138734836439,0.0,0.0
threshold_120,high,logistic,1,0.4449234351637035,0.13880785429723808,0.6450131430676169,1.609457519718277e-05,1.0039595371911139,0.03344893242813729,0.03207768931193122
threshold_120,high,logistic,2,0.4402181833770072,0.13751319761686087,0.6617132357276732,-0.00025752869477190313,1.0027584341316529,0.043670615032813664,0.04110547157946087
threshold_120,high,lightgbm,0,0.45969580529211784,0.14322241006958722,0.5682289309248899,-3.428477354376538e-05,0.9874869557498333,0.0,0.0
threshold_120,high,lightgbm,1,0.44377759895558466,0.13849737912435447,0.6482715815728858,0.00016398129527448943,0.9824115875536338,0.03462769543093358,0.03299086325203582
threshold_120,high,lightgbm,2,0.43740472420080356,0.13665448596388377,0.6702443114635533,0.00012143441796598486,1.0158521755357226,0.048490938648328985,0.04585821522282929
threshold_120,unknown,logistic,0,0.5711040094237203,0.19212738312000543,0.5910474023522836,0.00011363466567476145,1.0341865774172228,0.0,0.0
threshold_120,unknown,logistic,1,0.5666296399507318,0.1902624197370221,0.6087177978942204,-0.0004399585438420702,1.0310167916470836,0.007834596499337154,0.009706910866622565
threshold_120,unknown,logistic,2,0.5636746115019056,0.18923029472652955,0.6198781405834008,-0.00038959988060527015,0.9908333287390131,0.013008835167015342,0.015078997831695418
threshold_120,unknown,lightgbm,0,0.5709753002392403,0.19208543516557874,0.5909104143524788,-0.00015933912898716132,0.9620613903085837,0.0,0.0
threshold_120,unknown,lightgbm,1,0.5678739055435247,0.19055435262794507,0.6032058651481771,-0.0026015992949637435,0.828492048559273,0.005431749314578238,0.007970841393122208
threshold_120,unknown,lightgbm,2,0.5594913542668039,0.1875582939339768,0.633456600088796,0.0007924800213261352,0.8520705075283602,0.020112859466293154,0.02356837324859906
threshold_180,all,logistic,0,0.30305409903824526,0.0823430984082811,0.5542898082156875,0.00019309623519442277,1.005312275544998,0.0,0.0
threshold_180,all,logistic,1,0.29221685713383044,0.08053275288003345,0.6521608496750699,-4.716074165690958e-05,1.0033039025654473,0.03576009015818382,0.021985394808335168
threshold_180,all,logistic,2,0.29022595052751327,0.08023201074816959,0.6646764833276535,-2.7807904646068044e-05,1.0019807491714872,0.042329566078936565,0.02563770007346733
threshold_180,all,lightgbm,0,0.3026637803520245,0.08227969651767197,0.5563094772616612,-2.027210233488102e-06,0.9894933613107634,0.0,0.0
threshold_180,all,lightgbm,1,0.29143117330533413,0.08037242866294732,0.6559493579851303,2.513959493471692e-05,0.9939086957030456,0.03711249173464326,0.023180297636550162
threshold_180,all,lightgbm,2,0.2884001180945185,0.07984659086076812,0.6734735865326864,-0.00013945238988147908,1.0189030353190092,0.04712708683185063,0.029571154973587865
threshold_180,low,logistic,0,0.39771858735429905,0.11829601501393425,0.5799721440831576,0.00026194247979883546,1.0124077397249243,0.0,0.0
threshold_180,low,logistic,1,0.3974586220548774,0.11823263710800706,0.584100408763813,4.4415152496228225e-05,1.0038788308138855,0.0006536413124439422,0.0005357568969649451
threshold_180,low,logistic,2,0.395215253702804,0.11778647709346468,0.6050957996458775,-0.000182526232908424,0.9912139826746748,0.006294233488426282,0.004307312637788718
threshold_180,low,lightgbm,0,0.3971749022883661,0.11815270872460047,0.5794482352279354,-3.271893702149961e-05,0.9830674771195365,0.0,0.0
threshold_180,low,lightgbm,1,0.398072942167772,0.11840081221822127,0.5821640201703027,-0.0006201382335714739,0.8241427076138512,-0.0022610690510194154,-0.002099854470531737
threshold_180,low,lightgbm,2,0.3947507856317305,0.11762656579940513,0.6084576296495271,0.00018003860821308795,0.8750683538487055,0.006103398383605851,0.004453075438344056
threshold_180,intermediate,logistic,0,0.3103356090411436,0.08525310324350983,0.5798400393315406,0.00013360872339010293,1.0101145448224278,0.0,0.0
threshold_180,intermediate,logistic,1,0.3081054046844016,0.0848334235123623,0.6017450374065366,-0.00029524698421204204,1.0077831664850723,0.007186427505476156,0.0049227502012307855
threshold_180,intermediate,logistic,2,0.30630379972627103,0.08453993740285583,0.6160627942869954,-1.627476221463444e-05,0.9959665555880424,0.012991771480333258,0.008365277198379317
threshold_180,intermediate,lightgbm,0,0.30995754153837357,0.08519176064028185,0.5804297892687091,-5.1951017831865275e-05,0.9851625543940992,0.0,0.0
