stratum,estimate,lower,upper
all,0.06165346492354029,0.03943305495679739,0.08250261896242757
low,0.10282988660972991,0.06773979313447885,0.13448898571295753
intermediate,0.07523799417444788,0.05138994583385122,0.09595747255047307
high,0.04085926408072349,0.017221628564712585,0.06486800707415091
unknown,0.07748454552590167,0.037289627481359965,0.1282904728320717
