scenario,stratum,model,contrast,estimate
risk_grade_psa_only,intermediate,lightgbm,area,-9.113148505046077
risk_grade_psa_only,intermediate,lightgbm,marital,6.255643289525004
risk_grade_psa_only,high,logistic,social,0.6768789731702363
risk_grade_psa_only,high,logistic,area,-7.576564523065652
risk_grade_psa_only,high,logistic,marital,8.376747290513173
risk_grade_psa_only,high,lightgbm,social,0.4234208922107072
risk_grade_psa_only,high,lightgbm,area,-7.236379646656758
risk_grade_psa_only,high,lightgbm,marital,7.360960834424532
risk_grade_psa_only,unknown,logistic,social,0.03954338732939533
risk_grade_psa_only,unknown,logistic,area,-11.605838519630371
risk_grade_psa_only,unknown,logistic,marital,5.962233086039824
risk_grade_psa_only,unknown,lightgbm,social,0.6822424618528586
risk_grade_psa_only,unknown,lightgbm,area,-13.46276183068375
risk_grade_psa_only,unknown,lightgbm,marital,5.932001572959315
surgery_only,all,logistic,social,-1.4990700631806675
surgery_only,all,logistic,area,-8.936688463893724
surgery_only,all,logistic,marital,7.149508347467204
surgery_only,all,lightgbm,social,-1.1434100114190358
surgery_only,all,lightgbm,area,-7.763475977294462
surgery_only,all,lightgbm,marital,6.894890863682264
surgery_only,low,logistic,social,-4.162294594885978
surgery_only,low,logistic,area,-11.46061022828902
surgery_only,low,logistic,marital,2.6504442188884667
surgery_only,low,lightgbm,social,-4.419161493257235
surgery_only,low,lightgbm,area,-12.748615676787836
surgery_only,low,lightgbm,marital,0.7353439736627507
surgery_only,intermediate,logistic,social,-1.322926395343977
surgery_only,intermediate,logistic,area,-7.685308733218008
surgery_only,intermediate,logistic,marital,7.648449445605394
surgery_only,intermediate,lightgbm,social,-0.40817636994925977
surgery_only,intermediate,lightgbm,area,-7.310759947804669
surgery_only,intermediate,lightgbm,marital,7.83634041989356
surgery_only,high,logistic,social,-0.5284702143909001
surgery_only,high,logistic,area,-8.72939735523224
surgery_only,high,logistic,marital,8.663536014781528
surgery_only,high,lightgbm,social,-0.3470971005944108
surgery_only,high,lightgbm,area,-5.976970752212125
surgery_only,high,lightgbm,marital,7.85897423626713
surgery_only,unknown,logistic,social,-1.6556413331830129
surgery_only,unknown,logistic,area,-8.230401591912564
surgery_only,unknown,logistic,marital,4.598446661837244
surgery_only,unknown,lightgbm,social,-0.4966539725430863
surgery_only,unknown,lightgbm,area,-10.551178876001678
surgery_only,unknown,lightgbm,marital,4.98609054256648
exclude_2020,all,logistic,social,-1.1259203963045863
exclude_2020,all,logistic,area,-9.354874930154644
exclude_2020,all,logistic,marital,6.817828733258821
exclude_2020,all,lightgbm,social,-1.5821590023113004
exclude_2020,all,lightgbm,area,-8.866630096692035
exclude_2020,all,lightgbm,marital,5.916957551155448
exclude_2020,low,logistic,social,-3.390849820917957
exclude_2020,low,logistic,area,-11.505172959247055
exclude_2020,low,logistic,marital,3.810684817981617
exclude_2020,low,lightgbm,social,-4.739870544716894
exclude_2020,low,lightgbm,area,-13.921813094960498
exclude_2020,low,lightgbm,marital,2.5162898720306615
exclude_2020,intermediate,logistic,social,-1.5046826041700783
exclude_2020,intermediate,logistic,area,-8.953245100370331
exclude_2020,intermediate,logistic,marital,6.385859900496207
exclude_2020,intermediate,lightgbm,social,-1.70038939433271
