stratum,model,profile,standardised %
high,lightgbm,county income only: Q3 (rurality held at reference),33.739494516124765
high,lightgbm,county income only: Q4 (highest) (rurality held at reference),32.86768543599317
unknown,logistic,"rurality only: Metro, 1 million or more (county income held at reference)",42.279667932107195
unknown,logistic,"rurality only: Metro, 250,000 to 1 million (county income held at reference)",41.150438809990035
unknown,logistic,"rurality only: Metro, under 250,000 (county income held at reference)",34.44248767912988
unknown,logistic,"rurality only: Nonmetro, adjacent to metro (county income held at reference)",36.20625593095535
unknown,logistic,"rurality only: Nonmetro, not adjacent to metro (county income held at reference)",30.840259254399392
unknown,logistic,county income only: Q1 (lowest) (rurality held at reference),40.886935537471615
unknown,logistic,county income only: Q2 (rurality held at reference),41.369873817321256
unknown,logistic,county income only: Q3 (rurality held at reference),41.8544270060461
unknown,logistic,county income only: Q4 (highest) (rurality held at reference),42.340508768275406
unknown,lightgbm,"rurality only: Metro, 1 million or more (county income held at reference)",42.12969334981356
unknown,lightgbm,"rurality only: Metro, 250,000 to 1 million (county income held at reference)",42.00414641830968
unknown,lightgbm,"rurality only: Metro, under 250,000 (county income held at reference)",35.04673859604001
unknown,lightgbm,"rurality only: Nonmetro, adjacent to metro (county income held at reference)",41.48696118760073
unknown,lightgbm,"rurality only: Nonmetro, not adjacent to metro (county income held at reference)",35.951829826245444
unknown,lightgbm,county income only: Q1 (lowest) (rurality held at reference),32.47972280221397
unknown,lightgbm,county income only: Q2 (rurality held at reference),32.65393257874318
unknown,lightgbm,county income only: Q3 (rurality held at reference),42.52321777046959
unknown,lightgbm,county income only: Q4 (highest) (rurality held at reference),42.12969334981356
