comparison,estimate,lower,upper,n_resamples,level,metric
clinical need (step 0 to 1),0.04991580083894698,0.04513127705673738,0.05418465836514972,500,0.95,log-loss skill
social position (step 1 to 2),0.005281771173736849,0.0006809558674475794,0.010221321261785493,500,0.95,log-loss skill
